+--------------+--------------------+-------+--------+-------+-------------+--------+----------+----------+-------------------------------+----------------------------------------------------------+
| eq           | pairname           | stnm  | hitlo  | hitla | shift_gcarc | Peak_S | Peak_ScS | SNR2_ScS | dirPrefix                     | File                                                     |
| 200608250044 | 200608250044_D03T  | D03T  | -90.26 |  5.37 |     73.8775 |   11.4 |    6.975 |     4.53 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.XQ.D03T.BHT.sac  |
| 200608250044 | 200608250044_D04T  | D04T  | -90.25 |  5.37 |     73.8769 | 11.525 |     7.05 |     3.71 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.XQ.D04T.BHT.sac  |
| 200608250044 | 200608250044_D06T  | D06T  | -90.25 |  5.37 |     73.8764 | 11.475 |    7.075 |     3.85 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.XQ.D06T.BHT.sac  |
| 200608250044 | 200608250044_D09T  | D09T  | -90.25 |  5.37 |      73.876 | 11.175 |    6.975 |     3.81 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.XQ.D09T.BHT.sac  |
| 200608250044 | 200608250044_D15T  | D15T  | -90.25 |  5.37 |     73.8797 | 11.275 |     6.95 |      3.4 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.XQ.D15T.BHT.sac  |
| 200608250044 | 200608250044_DAN   | DAN   | -89.73 |  5.37 |     73.2684 | 10.925 |     7.45 |     3.86 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.DAN.BHT.sac   |
| 200608250044 | 200608250044_DEC   | DEC   | -91.18 |  5.23 |     74.7505 |    8.6 |      5.9 |     3.06 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.DEC.BHT.sac   |
| 200608250044 | 200608250044_DGR   | DGR   | -90.65 |  4.88 |     73.5462 |  10.35 |    8.925 |     5.29 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.DGR.BHT.sac   |
| 200608250044 | 200608250044_DJJ   | DJJ   | -91.26 |  5.16 |     74.7245 |    9.1 |    8.475 |      5.1 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.DJJ.BHT.sac   |
| 200608250044 | 200608250044_DUG   | DUG   | -87.65 |  8.31 |     75.8623 |  11.15 |    5.975 |     4.87 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.US.DUG.BHT.sac   |
| 200608250044 | 200608250044_DVT   | DVT   | -90.37 |  4.31 |     72.3117 |  10.35 |     8.15 |     1.34 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.DVT.BHT.sac   |
| 200608250044 | 200608250044_EYMN  | EYMN  | -77.29 | 11.75 |       74.05 |    0.5 |     3.45 |    16.04 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.US.EYMN.BHT.sac  |
| 200608250044 | 200608250044_FMP   | FMP   | -91.25 |  4.94 |     74.3596 |  9.075 |      6.7 |     2.88 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.FMP.BHT.sac   |
| 200608250044 | 200608250044_FRD   | FRD   | -90.48 |  4.78 |     73.1935 |     11 |   10.525 |     4.63 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.AZ.FRD.BHT.sac   |
| 200608250044 | 200608250044_FUR   | FUR   | -90.13 |  6.41 |     75.3994 |  9.175 |     7.05 |     8.21 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.FUR.BHT.sac   |
| 200608250044 | 200608250044_GLA   | GLA   | -89.71 |   4.5 |      71.823 |  11.25 |    9.225 |    10.73 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.GLA.BHT.sac   |
| 200608250044 | 200608250044_GMR   | GMR   | -89.84 |  5.46 |     73.5346 |  11.65 |    7.775 |     7.56 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.GMR.BHT.sac   |
| 200608250044 | 200608250044_GRA   | GRA   | -90.27 |  6.72 |     76.0487 |   9.65 |        7 |     9.35 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.GRA.BHT.sac   |
| 200608250044 | 200608250044_GSC   | GSC   |  -90.3 |  5.77 |      74.557 |  9.775 |     7.35 |     4.15 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.GSC.BHT.sac   |
| 200608250044 | 200608250044_HEC   | HEC   | -90.15 |  5.51 |      73.954 | 11.225 |     7.15 |     5.14 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.HEC.BHT.sac   |
| 200608250044 | 200608250044_HVU   | HVU   | -87.35 |  9.17 |     77.0209 |  8.275 |      5.9 |      7.5 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.UU.HVU.HHT.sac   |
| 200608250044 | 200608250044_HWUT  | HWUT  | -86.85 |  9.03 |     76.2918 |    9.3 |     6.05 |     9.47 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.US.HWUT.BHT.sac  |
| 200608250044 | 200608250044_ISA   | ISA   | -91.01 |  6.01 |     75.7821 |   8.65 |      7.1 |      9.6 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.ISA.BHT.sac   |
| 200608250044 | 200608250044_ISCO  | ISCO  | -84.49 |   7.9 |     72.0767 |   9.35 |     7.75 |     8.01 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.US.ISCO.BHT.sac  |
| 200608250044 | 200608250044_JCS   | JCS   | -90.54 |  4.56 |     72.9072 |   10.5 |     9.05 |     5.01 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.JCS.BHT.sac   |
| 200608250044 | 200608250044_KNW   | KNW   |  -90.5 |   4.9 |     73.4112 | 11.275 |     9.85 |     4.17 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.AZ.KNW.BHT.sac   |
| 200608250044 | 200608250044_LGU   | LGU   | -91.54 |  5.17 |     75.0994 |  7.725 |    7.375 |        4 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.LGU.BHT.sac   |
| 200608250044 | 200608250044_LRL   | LRL   | -90.67 |  5.89 |     75.1965 |  9.275 |     7.45 |     5.08 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.LRL.BHT.sac   |
| 200608250044 | 200608250044_LVA2  | LVA2  | -90.48 |   4.7 |       73.07 | 10.775 |   10.825 |     5.04 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.AZ.LVA2.BHT.sac  |
| 200608250044 | 200608250044_MONP  | MONP  | -90.49 |  4.45 |     72.6665 | 11.125 |    9.725 |     3.49 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.AZ.MONP.BHT.sac  |
| 200608250044 | 200608250044_MPM   | MPM   | -90.49 |   6.2 |      75.471 |  9.775 |    7.325 |     9.28 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.MPM.BHT.sac   |
| 200608250044 | 200608250044_MPP   | MPP   | -91.76 |  5.62 |     76.0695 |  8.225 |      5.9 |     3.18 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.MPP.BHT.sac   |
| 200608250044 | 200608250044_MPU   | MPU   | -87.16 |  8.18 |     75.1369 |  9.975 |    7.075 |     8.13 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.UU.MPU.HHT.sac   |
| 200608250044 | 200608250044_MUR   | MUR   | -90.74 |  4.85 |     73.6242 |   9.55 |      9.4 |     6.93 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.MUR.BHT.sac   |
| 200608250044 | 200608250044_MWC   | MWC   | -91.05 |  5.21 |     74.5631 |  8.975 |    8.025 |      2.9 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.MWC.BHT.sac   |
| 200608250044 | 200608250044_N13A  | N13A  | -88.15 |  8.72 |     77.0659 | 11.525 |    7.225 |    10.57 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.TA.N13A.BHT.sac  |
| 200608250044 | 200608250044_NE80  | NE80  | -88.85 |  3.08 |     68.5314 |   9.95 |    7.975 |     4.36 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.NR.NE80.BHT.sac  |
| 200608250044 | 200608250044_NLU   | NLU   | -87.36 |  8.16 |     75.3162 |   11.1 |     6.75 |     9.28 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.UU.NLU.HHT.sac   |
| 200608250044 | 200608250044_OSI   | OSI   |  -91.3 |  5.44 |     75.2314 |  7.925 |     7.75 |        4 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.OSI.BHT.sac   |
| 200608250044 | 200608250044_P11A  | P11A  | -89.08 |  8.06 |     76.9461 |    8.8 |     5.95 |     2.46 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.TA.P11A.BHT.sac  |
| 200608250044 | 200608250044_P12A  | P12A  | -88.72 |  7.99 |     76.4332 |  11.05 |    7.075 |     8.62 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.TA.P12A.BHT.sac  |
| 200608250044 | 200608250044_PAS   | PAS   | -91.12 |  5.18 |     74.5804 |    8.7 |    6.875 |     2.26 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.PAS.BHT.sac   |
| 200608250044 | 200608250044_PDM   | PDM   | -89.21 |  5.17 |     72.3122 |   10.6 |      7.5 |     7.67 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.PDM.BHT.sac   |
| 200608250044 | 200608250044_PFO   | PFO   |  -90.4 |  4.84 |     73.1887 | 11.325 |    9.575 |     5.05 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.AZ.PFO.BHT.sac   |
| 200608250044 | 200608250044_PHL   | PHL   | -92.01 |  5.93 |      76.862 |  7.525 |    7.025 |     1.95 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.PHL.BHT.sac   |
| 200608250044 | 200608250044_PLM   | PLM   | -90.63 |  4.71 |     73.2533 | 10.525 |    8.075 |      4.5 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.PLM.BHT.sac   |
| 200608250044 | 200608250044_Q11A  | Q11A  | -89.16 |  7.67 |     76.3875 | 11.625 |    7.025 |     7.48 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.TA.Q11A.BHT.sac  |
| 200608250044 | 200608250044_R09A  | R09A  | -89.91 |  7.39 |     76.7466 |   10.2 |      7.1 |     7.96 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.TA.R09A.BHT.sac  |
| 200608250044 | 200608250044_RDM   | RDM   | -90.58 |  4.86 |     73.4349 |   10.9 |      8.4 |     5.74 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.AZ.RDM.BHT.sac   |
| 200608250044 | 200608250044_RPV   | RPV   | -91.29 |  4.95 |      74.448 | 11.225 |     7.75 |     4.08 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.RPV.BHT.sac   |
| 200608250044 | 200608250044_RRX   | RRX   | -90.45 |  5.55 |     74.3742 |  9.275 |    8.525 |     3.08 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.RRX.BHT.sac   |
| 200608250044 | 200608250044_RWWY  | RWWY  | -84.92 |  8.93 |     74.3042 |    7.1 |    5.425 |      9.8 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.IW.RWWY.BHT.sac  |
| 200608250044 | 200608250044_S05C  | S05C  | -91.56 |     7 |      78.019 |   6.75 |    5.625 |     6.11 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.TA.S05C.BHT.sac  |
| 200608250044 | 200608250044_S08C  | S08C  | -90.54 |  7.01 |       76.86 | 10.775 |    9.025 |     3.99 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.TA.S08C.BHT.sac  |
| 200608250044 | 200608250044_SBC   | SBC   | -91.79 |  5.37 |     75.7107 |   7.75 |    6.725 |     2.28 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.SBC.BHT.sac   |
| 200608250044 | 200608250044_SDCO  | SDCO  | -84.72 |  6.82 |     70.3869 |  8.325 |    7.975 |     7.21 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.US.SDCO.BHT.sac  |
| 200608250044 | 200608250044_SHO   | SHO   | -89.95 |  6.08 |     74.6648 |    8.9 |      7.4 |     9.12 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.SHO.BHT.sac   |
| 200608250044 | 200608250044_SLA   | SLA   | -90.42 |  6.11 |     75.2453 |  8.925 |    8.875 |      1.1 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.SLA.BHT.sac   |
| 200608250044 | 200608250044_SMER  | SMER  | -90.76 |  4.77 |     73.5116 |   9.95 |      8.8 |     4.76 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.AZ.SMER.BHT.sac  |
| 200608250044 | 200608250044_SMM   | SMM   | -91.77 |  5.86 |     76.4643 |    8.2 |      6.3 |     4.93 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.SMM.BHT.sac   |
| 200608250044 | 200608250044_SND   | SND   | -90.48 |  4.81 |     73.2395 |  11.15 |    8.425 |     2.11 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.AZ.SND.BHT.sac   |
| 200608250044 | 200608250044_SNP12 | SNP12 | -91.05 |  6.72 |     76.9658 |  6.625 |    4.875 |     3.68 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.XE.SNP12.BHT.sac |
| 200608250044 | 200608250044_SNP43 | SNP43 | -91.16 |     7 |     77.5554 |  8.825 |     5.95 |     4.16 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.XE.SNP43.BHT.sac |
| 200608250044 | 200608250044_SNP45 | SNP45 | -90.93 |  7.15 |     77.5033 | 10.375 |     7.85 |     3.21 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.XE.SNP45.BHT.sac |
| 200608250044 | 200608250044_SOL   | SOL   | -90.88 |  4.43 |      73.136 |   9.85 |     6.85 |     2.91 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.AZ.SOL.BHT.sac   |
| 200608250044 | 200608250044_SP01  | SP01  | -90.27 |  5.42 |     73.9547 | 10.025 |     7.15 |     3.86 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.XQ.SP01.BHT.sac  |
| 200608250044 | 200608250044_SPU   | SPU   | -87.29 |   8.9 |     76.5062 |      9 |      4.8 |     7.26 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.UU.SPU.HHT.sac   |
| 200608250044 | 200608250044_SRU   | SRU   | -86.81 |  7.66 |     73.9016 |  8.975 |    6.225 |    10.24 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.UU.SRU.HHT.sac   |
| 200608250044 | 200608250044_SVD   | SVD   | -90.62 |  5.12 |      73.912 |  10.85 |      7.5 |     3.34 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.SVD.BHT.sac   |
| 200608250044 | 200608250044_SWS   | SWS   | -90.18 |  4.46 |     72.3291 | 11.025 |    9.125 |     3.19 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.SWS.BHT.sac   |
| 200608250044 | 200608250044_TIN   | TIN   | -90.65 |  6.77 |     76.5887 |    8.3 |     5.85 |     2.19 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.TIN.BHT.sac   |
| 200608250044 | 200608250044_TMU   | TMU   | -87.08 |  7.78 |       74.38 |   9.85 |    6.575 |     1.53 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.UU.TMU.HHT.sac   |
| 200608250044 | 200608250044_TOV   | TOV   | -91.42 |   5.2 |     74.9812 |  8.475 |     7.95 |     2.67 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.TOV.BHT.sac   |
| 200608250044 | 200608250044_TUQ   | TUQ   | -89.86 |  5.82 |     74.1361 |  9.775 |    7.325 |     1.49 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.TUQ.BHT.sac   |
| 200608250044 | 200608250044_U10A  | U10A  | -89.89 |  6.37 |     75.0606 |  9.275 |    7.175 |     3.97 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.TA.U10A.BHT.sac  |
| 200608250044 | 200608250044_U11A  | U11A  | -89.46 |  6.35 |     74.5235 |   9.65 |        7 |      7.2 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.TA.U11A.BHT.sac  |
| 200608250044 | 200608250044_U12A  | U12A  | -89.06 |  6.33 |     74.0535 |  10.75 |      6.9 |     4.72 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.TA.U12A.BHT.sac  |
| 200608250044 | 200608250044_V05C  | V05C  | -91.63 |  6.17 |     76.7763 |  8.875 |     5.55 |     1.87 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.TA.V05C.BHT.sac  |
| 200608250044 | 200608250044_V12A  | V12A  | -89.32 |  5.96 |     73.7356 |  11.35 |     7.75 |     7.76 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.TA.V12A.BHT.sac  |
| 200608250044 | 200608250044_VCS   | VCS   | -91.04 |  5.36 |     74.7761 |   9.25 |      8.4 |     4.66 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.CI.VCS.BHT.sac   |
| 200608250044 | 200608250044_W12A  | W12A  | -89.39 |  5.72 |     73.4432 | 10.825 |     7.25 |     5.25 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.TA.W12A.BHT.sac  |
| 200608250044 | 200608250044_W13A  | W13A  | -88.97 |  5.59 |     72.7377 |  11.55 |     7.85 |     8.33 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.TA.W13A.BHT.sac  |
| 200608250044 | 200608250044_W14A  | W14A  | -88.58 |  5.64 |      72.367 |  10.95 |      8.9 |    10.17 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.TA.W14A.BHT.sac  |
| 200608250044 | 200608250044_W15A  | W15A  |  -88.2 |   5.6 |      71.887 |   11.8 |    9.425 |     8.89 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.TA.W15A.BHT.sac  |
| 200608250044 | 200608250044_WMC   | WMC   |  -90.5 |  4.82 |     73.2917 |   11.2 |      9.1 |     2.34 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.AZ.WMC.BHT.sac   |
| 200608250044 | 200608250044_WUAZ  | WUAZ  | -87.74 |  5.76 |     71.6469 |  12.05 |    9.375 |    10.72 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.US.WUAZ.BHT.sac  |
| 200608250044 | 200608250044_X13A  | X13A  | -89.02 |  5.32 |     72.3417 | 11.075 |    7.625 |     7.65 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.TA.X13A.BHT.sac  |
| 200608250044 | 200608250044_X14A  | X14A  |  -88.6 |  5.23 |     71.7176 | 10.775 |      8.2 |    10.42 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.TA.X14A.BHT.sac  |
| 200608250044 | 200608250044_X15A  | X15A  | -88.28 |  5.22 |     71.3619 | 10.425 |    8.875 |     10.4 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.TA.X15A.BHT.sac  |
| 200608250044 | 200608250044_Y12C  | Y12C  | -89.47 |  4.88 |     72.1396 |  10.25 |     7.55 |     6.77 | /Users/shuleyu/PROJ/t041.CA_D | NorthAmerican/200608250044/200608250044.TA.Y12C.BHT.sac  |
