+----------------------+-----------+------+------+--------------+-------------+
| modelname            | thickness | dvs  | drho | criticalDist | awayFromCMB |
| Lamella_201500000090 |        15 |  -30 |    0 |          100 |           5 |
| Lamella_201500000091 |        15 |  -30 |    5 |          100 |           5 |
| Lamella_201500000092 |        15 |  -30 |   10 |          100 |           5 |
| Lamella_201500000093 |        15 |  -25 |   -5 |          100 |           5 |
| Lamella_201500000094 |        15 |  -25 |    0 |          100 |           5 |
| Lamella_201500000095 |        15 |  -25 |    5 |          100 |           5 |
| Lamella_201500000096 |        15 |  -25 |   10 |          100 |           5 |
| Lamella_201500000097 |        15 |  -20 |   -5 |          100 |           5 |
| Lamella_201500000098 |        15 |  -20 |    0 |          100 |           5 |
| Lamella_201500000099 |        15 |  -20 |    5 |          100 |           5 |
| Lamella_201500000100 |        15 |  -20 |   10 |          100 |           5 |
| Lamella_201500000101 |        15 |  -15 |   -5 |          100 |           5 |
| Lamella_201500000102 |        15 |  -15 |    0 |          100 |           5 |
| Lamella_201500000103 |        15 |  -15 |    5 |          100 |           5 |
| Lamella_201500000104 |        15 |  -15 |   10 |          100 |           5 |
| Lamella_201500000105 |        15 |  -10 |   -5 |          100 |           5 |
| Lamella_201500000106 |        15 |  -10 |    0 |          100 |           5 |
| Lamella_201500000107 |        15 |  -10 |    5 |          100 |           5 |
| Lamella_201500000108 |        15 |  -10 |   10 |          100 |           5 |
| Lamella_201500000109 |        15 |   -5 |   -5 |          100 |           5 |
| Lamella_201500000110 |        15 |   -5 |    0 |          100 |           5 |
| Lamella_201500000111 |        15 |   -5 |    5 |          100 |           5 |
| Lamella_201500000112 |        15 |   -5 |   10 |          100 |           5 |
| Lamella_201500000113 |        15 |    0 |   -5 |          100 |           5 |
| Lamella_201500000114 |        15 |    0 |    0 |          100 |           5 |
| Lamella_201500000115 |        15 |    0 |    5 |          100 |           5 |
| Lamella_201500000116 |        15 |    0 |   10 |          100 |           5 |
| Lamella_201500000117 |        15 |    5 |   -5 |       70.404 |           5 |
| Lamella_201500000118 |        15 |    5 |    0 |       70.404 |           5 |
| Lamella_201500000119 |        15 |    5 |    5 |       70.404 |           5 |
| Lamella_201500000120 |        15 |    5 |   10 |       70.404 |           5 |
| Lamella_201500000121 |        15 |   10 |   -5 |      61.1272 |           5 |
| Lamella_201500000122 |        15 |   10 |    0 |      61.1272 |           5 |
| Lamella_201500000123 |        15 |   10 |    5 |      61.1272 |           5 |
| Lamella_201500000124 |        15 |   10 |   10 |      61.1272 |           5 |
| Lamella_201500000125 |        15 |   15 |   -5 |      55.0929 |           5 |
| Lamella_201500000126 |        15 |   15 |    0 |      55.0929 |           5 |
| Lamella_201500000127 |        15 |   15 |    5 |      55.0929 |           5 |
| Lamella_201500000128 |        15 |   15 |   10 |      55.0929 |           5 |
| Lamella_201500000129 |        15 |   20 |   -5 |      50.4593 |           5 |
| Lamella_201500000130 |        15 |   20 |    0 |      50.4593 |           5 |
| Lamella_201500000131 |        15 |   20 |    5 |      50.4593 |           5 |
| Lamella_201500000132 |        15 |   20 |   10 |      50.4593 |           5 |
| Lamella_201500000133 |        20 |  -30 |   -5 |          100 |           5 |
| Lamella_201500000134 |        20 |  -30 |    0 |          100 |           5 |
| Lamella_201500000135 |        20 |  -30 |    5 |          100 |           5 |
| Lamella_201500000136 |        20 |  -30 |   10 |          100 |           5 |
| Lamella_201500000137 |        20 |  -25 |   -5 |          100 |           5 |
| Lamella_201500000138 |        20 |  -25 |    0 |          100 |           5 |
| Lamella_201500000139 |        20 |  -25 |    5 |          100 |           5 |
| Lamella_201500000140 |        20 |  -25 |   10 |          100 |           5 |
| Lamella_201500000141 |        20 |  -20 |   -5 |          100 |           5 |
| Lamella_201500000142 |        20 |  -20 |    0 |          100 |           5 |
| Lamella_201500000143 |        20 |  -20 |    5 |          100 |           5 |
| Lamella_201500000144 |        20 |  -20 |   10 |          100 |           5 |
| Lamella_201500000145 |        20 |  -15 |   -5 |          100 |           5 |
| Lamella_201500000146 |        20 |  -15 |    0 |          100 |           5 |
| Lamella_201500000147 |        20 |  -15 |    5 |          100 |           5 |
| Lamella_201500000148 |        20 |  -15 |   10 |          100 |           5 |
| Lamella_201500000149 |        20 |  -10 |   -5 |          100 |           5 |
| Lamella_201500000150 |        20 |  -10 |    0 |          100 |           5 |
| Lamella_201500000151 |        20 |  -10 |    5 |          100 |           5 |
| Lamella_201500000152 |        20 |  -10 |   10 |          100 |           5 |
| Lamella_201500000153 |        20 |   -5 |   -5 |          100 |           5 |
| Lamella_201500000154 |        20 |   -5 |    0 |          100 |           5 |
| Lamella_201500000155 |        20 |   -5 |    5 |          100 |           5 |
| Lamella_201500000156 |        20 |   -5 |   10 |          100 |           5 |
| Lamella_201500000157 |        20 |    0 |   -5 |          100 |           5 |
| Lamella_201500000158 |        20 |    0 |    0 |          100 |           5 |
| Lamella_201500000159 |        20 |    0 |    5 |          100 |           5 |
| Lamella_201500000160 |        20 |    0 |   10 |          100 |           5 |
| Lamella_201500000161 |        20 |    5 |   -5 |      70.1804 |           5 |
| Lamella_201500000162 |        20 |    5 |    0 |      70.1804 |           5 |
| Lamella_201500000163 |        20 |    5 |    5 |      70.1804 |           5 |
| Lamella_201500000164 |        20 |    5 |   10 |      70.1804 |           5 |
| Lamella_201500000165 |        20 |   10 |   -5 |      61.0571 |           5 |
| Lamella_201500000166 |        20 |   10 |    0 |      61.0571 |           5 |
| Lamella_201500000167 |        20 |   10 |    5 |      61.0571 |           5 |
| Lamella_201500000168 |        20 |   10 |   10 |      61.0571 |           5 |
| Lamella_201500000169 |        20 |   15 |   -5 |      54.9566 |           5 |
| Lamella_201500000170 |        20 |   15 |    0 |      54.9566 |           5 |
| Lamella_201500000171 |        20 |   15 |    5 |      54.9566 |           5 |
| Lamella_201500000172 |        20 |   15 |   10 |      54.9566 |           5 |
| Lamella_201500000173 |        20 |   20 |   -5 |      50.4075 |           5 |
| Lamella_201500000174 |        20 |   20 |    0 |      50.4075 |           5 |
| Lamella_201500000175 |        20 |   20 |    5 |      50.4075 |           5 |
| Lamella_201500000176 |        20 |   20 |   10 |      50.4075 |           5 |
| Lamella_201500000177 |        25 |  -30 |   -5 |          100 |           5 |
| Lamella_201500000178 |        25 |  -30 |    0 |          100 |           5 |
| Lamella_201500000179 |        25 |  -30 |    5 |          100 |           5 |
| Lamella_201500000180 |        25 |  -30 |   10 |          100 |           5 |
| Lamella_201500000181 |        25 |  -25 |   -5 |          100 |           5 |
| Lamella_201500000182 |        25 |  -25 |    0 |          100 |           5 |
| Lamella_201500000183 |        25 |  -25 |    5 |          100 |           5 |
| Lamella_201500000184 |        25 |  -25 |   10 |          100 |           5 |
| Lamella_201500000185 |        25 |  -20 |   -5 |          100 |           5 |
| Lamella_201500000186 |        25 |  -20 |    0 |          100 |           5 |
| Lamella_201500000187 |        25 |  -20 |    5 |          100 |           5 |
| Lamella_201500000188 |        25 |  -20 |   10 |          100 |           5 |
| Lamella_201500000189 |        25 |  -15 |   -5 |          100 |           5 |
| Lamella_201500000190 |        25 |  -15 |    0 |          100 |           5 |
| Lamella_201500000191 |        25 |  -15 |    5 |          100 |           5 |
| Lamella_201500000192 |        25 |  -15 |   10 |          100 |           5 |
| Lamella_201500000193 |        25 |  -10 |   -5 |          100 |           5 |
| Lamella_201500000194 |        25 |  -10 |    0 |          100 |           5 |
| Lamella_201500000195 |        25 |  -10 |    5 |          100 |           5 |
| Lamella_201500000196 |        25 |  -10 |   10 |          100 |           5 |
| Lamella_201500000197 |        25 |   -5 |   -5 |          100 |           5 |
| Lamella_201500000198 |        25 |   -5 |    0 |          100 |           5 |
| Lamella_201500000199 |        25 |   -5 |    5 |          100 |           5 |
| Lamella_201500000200 |        25 |   -5 |   10 |          100 |           5 |
| Lamella_201500000201 |        25 |    0 |   -5 |          100 |           5 |
| Lamella_201500000202 |        25 |    0 |    0 |          100 |           5 |
| Lamella_201500000203 |        25 |    0 |    5 |          100 |           5 |
| Lamella_201500000204 |        25 |    0 |   10 |          100 |           5 |
| Lamella_201500000205 |        25 |    5 |   -5 |       69.957 |           5 |
| Lamella_201500000206 |        25 |    5 |    0 |       69.957 |           5 |
| Lamella_201500000207 |        25 |    5 |    5 |       69.957 |           5 |
